FID,Month,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Stream_D,Trail_D,Water_D,Ruggedness,M_Density
419,0,2016,0,0,0,0,0,7.8344598,5.3094902,7.2154598,5.2121201,9.3307199,7.5243001,3,
420,0,2016,0,0,0,0,0,7.9281101,5.7680202,7.1422,5.8640299,9.2779398,7.6921101,2,
421,0,2016,0,0,0,0,0,7.9281101,6.7402902,7.2707,5.9716501,9.2224503,7.6433902,2,
422,0,2016,0,0,0,0,0,7.9706998,6.7790499,7.1339598,5.1985002,9.16399,7.4236302,2,
423,0,2016,0,0,0,0,0,8.0481701,6.8367801,7.1104999,6.6493702,9.1022596,7.2486501,2,
424,0,2016,0,0,0,0,0,8.1464195,7.1107998,7.2901502,5.9414201,9.0369501,7.2174001,1,
425,0,2016,0,0,0,0,0,8.25352,7.09866,7.5190201,5.5959301,8.96768,7.3443198,3,
426,0,2016,0,0,0,0,0,8.3602505,6.5875301,7.1410699,6.7446799,8.8940802,7.5093799,3,
427,0,2016,0,0,0,0,0,8.4640198,5.6261301,6.5745301,6.0956998,8.8157301,7.5760999,3,
428,0,2016,0,0,0,0,0,8.5560303,6.0349398,5.9687099,5.0172801,8.7322397,7.2279601,3,
429,0,2016,0,0,0,0,0,8.55198,6.5295701,6.5745301,5.3619099,8.6432695,6.73523,2,
430,0,2016,0,0,0,0,0,8.45438,5.6490402,7.0890298,5.8888798,8.5486803,5.9716501,2,
431,0,2017,0,0,0.315436,0,0,9.3771896,0,5.6970401,7.1433301,9.4453602,3.77107,1,0
432,0,2017,0,0,0,0,0,9.3260498,5.3909101,6.6394501,7.3420601,9.3980799,5.5149899,3,0
433,0,2017,0,0,0.0402685,0,0,9.2722702,4.1108699,7.0629802,7.4645901,9.3486004,0,0,0
434,0,2017,0,0,0.0469799,0,0,9.2155704,4.82586,7.2282,7.6352601,9.29671,5.4357901,1,0
435,0,2017,0,0,0.0536913,0,0,9.1556501,0,7.3569498,7.4587898,9.2421904,0,1,0
436,0,2017,0,0,0.0469799,0,0,9.0921402,4.2207098,7.3530798,7.1770301,9.1848001,6.1778102,2,0
