FID,Count,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Trail_D,Water_D,Ruggedness,Stream_D
5564,2,2017,1,0,0.268456,0,0.0939597,9.35042,3.43399,7.349,9.4076405,5.1700802,2,6.0650301
5565,2,2017,1,0,0.0268456,0,0.0805369,8.9745703,5.1985002,8.4258404,9.0539598,5.9025402,1,6.9268098
5566,2,2017,1,0,0,0,0,7.82477,6.2415199,8.3020601,8.0566101,6.4109201,9,5.35186
5567,0,2017,0,0,0,0.0067114,0,5.4925199,5.6021199,8.31458,9.4144802,6.4650998,3,6.2483101
5568,0,2017,0,0,0,0,0,3.43399,5.7266598,8.3240499,9.37043,6.1640301,2,5.6261301
5569,0,2017,0,0,0,0.0134228,0.0738255,5.7071099,5.7853599,8.5956001,9.2858696,6.4109201,2,6.5029502
5570,0,2017,0,0,0,0.0469799,0.033557,5.9025402,6.21521,8.5783195,9.2902298,6.7934198,1,6.9570899
5571,0,2017,0,0,0.295302,0.0067114,0,6.84655,3.43399,8.5546799,9.3114405,5.3619099,2,3.43399
5572,0,2017,0,0,0,0,0,4.45263,5.7680202,8.6286802,9.22859,6.1136799,1,6.6948299
5573,0,2017,0,0,0.147651,0,0,5.3094902,4.2207098,8.6651697,9.1600103,6.3130498,1,7.2784801
5574,0,2017,0,0.134228,0.167785,0,0,6.9028301,0,8.7607498,9.0296001,6.3174801,0,6.7877202
5575,0,2017,0,0,0.550336,0,0,6.3130498,4.1108699,8.6968002,9.0116701,3.77107,0,5.98037
5576,0,2017,0,0,0.516779,0,0,5.9059,4.1108699,8.6353903,8.85569,5.7500601,2,4.82586
5577,0,2017,0,0,0.610738,0,0,7.1738701,3.43399,8.4703102,8.5854301,5.0910201,1,5.4925199
5578,0,2017,0,0,0.268456,0.0201342,0,7.3690801,3.77107,8.3574104,8.5178099,5.7680202,7,4.82586
5579,0,2017,0,0,0.0134228,0.0067114,0,7.3235898,4.2207098,8.2444401,8.2555599,5.35186,3,5.7500601
5580,0,2017,0,0,0.402685,0.0469799,0,5.35186,3.77107,8.0282698,7.7434101,4.9064898,2,4.51086
5581,0,2017,0,0,0.483221,0.127517,0,5.6261301,0,8.1004896,7.4995599,4.9064898,0,5.0172801
5582,0,2017,0,0,0.147651,0,0,3.43399,4.1108699,8.0166502,6.55302,6.0029202,0,6.1114702
5583,0,2017,0,0,0,0,0,5.7361498,5.71207,8.0487204,5.6919298,7.03269,1,6.19311
5584,0,2017,0,0,0.0469799,0,0,5.5149899,3.43399,8.1431198,6.8927202,6.2223601,11,5.9716501
5585,0,2017,0,0,0.0067114,0,0,7.11588,3.77107,8.2688999,7.7344398,6.99933,2,7.3228002
5586,0,2017,0,0,0,0,0,7.3228002,5.5434499,8.1803198,7.5882502,6.6700902,3,6.96839
5587,0,2017,0,0.0067114,0,0.248322,0,7.46591,6.2223601,8.1213102,5.4357901,7.4200802,18,4.82586
5588,0,2017,0,0.033557,0.0134228,0.422819,0,7.31707,5.0367599,8.0743799,5.1399398,7.4119401,11,4.9064898
5589,0,2017,0,0.033557,0.0134228,0.234899,0,7.5803399,5.1985002,8.2915697,6.6955199,6.9324098,1,6.3846798
5590,0,2017,0,0,0,0,0,7.25633,6.3985901,8.2940798,5.9476099,6.97826,10,5.6490402
5591,0,2017,0,0,0,0.0469799,0,7.2326798,6.0527101,8.3905802,6.1310301,6.6340299,20,4.2207098
5592,0,2017,0,0.449664,0,0.0469799,0,5.0367599,6.2632599,8.4201002,0,7.18537,4,5.6546102
5593,0,2017,0,0,0.241611,0,0,7.2008901,0,8.39993,7.51476,3.77107,6,5.5959301
5594,0,2017,0,0,0,0,0,7.7789302,5.9687099,8.3147697,8.0170898,6.1855202,5,5.8888798
5595,0,2017,0,0,0.268456,0,0,8.2989798,3.43399,8.3345604,8.4393997,5.0910201,4,0
5596,0,2017,0,0,0.100671,0,0,8.3807898,3.43399,8.2690201,8.5193901,5.2121201,4,5.98037
5597,0,2017,0,0,0.322148,0,0,8.8778601,4.1108699,8.4187002,8.9658699,4.2207098,0,6.44731
5598,0,2017,0,0,0.0872483,0,0,9.0748901,4.9064898,8.2885103,9.1508198,5.3619099,2,7.3821602
5599,0,2017,0,0,0.154362,0,0.214765,9.2459097,4.5629802,7.8654399,9.3094301,4.8542099,2,6.8485799
5600,0,2017,0,0,0,0,0,9.2820902,5.7071099,7.6497598,9.3442497,6.0375199,2,7.0427599
